AABBCCDDEEFFGGHH,139207149692609112001206225150672896.00000000
AABBCCDDEEFFGGHh,189493434871637893042809109267343212544.00000000
AABBCCDDEEFFGGhh,257944810584381314243585862765889644920832.00000000
AABBCCDDEEFFGgHH,189493434871637893042809109267343212544.00000000
AABBCCDDEEFFGgHh,257944810584381314243585862765889644920832.00000000
AABBCCDDEEFFGghh,351123115966963493036012047346048666087456768.00000000
AABBCCDDEEFFggHH,257944810584381314243585862765889644920832.00000000
AABBCCDDEEFFggHh,351123115966963493036012047346048666087456768.00000000
AABBCCDDEEFFgghh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEEFfGGHH,189493434871637893042809109267343212544.00000000
AABBCCDDEEFfGGHh,257944810584381314243585862765889644920832.00000000
AABBCCDDEEFfGGhh,351123115966963493036012047346048666087456768.00000000
AABBCCDDEEFfGgHH,257944810584381314243585862765889644920832.00000000
AABBCCDDEEFfGgHh,351123115966963493036012047346048666087456768.00000000
AABBCCDDEEFfGghh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEEFfggHH,351123115966963493036012047346048666087456768.00000000
AABBCCDDEEFfggHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEEFfgghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEEffGGHH,257944810584381314243585862765889644920832.00000000
AABBCCDDEEffGGHh,351123115966963493036012047346048666087456768.00000000
AABBCCDDEEffGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEEffGgHH,351123115966963493036012047346048666087456768.00000000
AABBCCDDEEffGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEEffGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEEffggHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEEffggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEEffgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDEeFFGGHH,189493434871637893042809109267343212544.00000000
AABBCCDDEeFFGGHh,257944810584381314243585862765889644920832.00000000
AABBCCDDEeFFGGhh,351123115966963493036012047346048666087456768.00000000
AABBCCDDEeFFGgHH,257944810584381314243585862765889644920832.00000000
AABBCCDDEeFFGgHh,351123115966963493036012047346048666087456768.00000000
AABBCCDDEeFFGghh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEeFFggHH,351123115966963493036012047346048666087456768.00000000
AABBCCDDEeFFggHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEeFFgghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEeFfGGHH,257944810584381314243585862765889644920832.00000000
AABBCCDDEeFfGGHh,351123115966963493036012047346048666087456768.00000000
AABBCCDDEeFfGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEeFfGgHH,351123115966963493036012047346048666087456768.00000000
AABBCCDDEeFfGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEeFfGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEeFfggHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEeFfggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEeFfgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDEeffGGHH,351123115966963493036012047346048666087456768.00000000
AABBCCDDEeffGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEeffGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEeffGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDDEeffGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEeffGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDEeffggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDEeffggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDEeffgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDDeeFFGGHH,257944810584381314243585862765889644920832.00000000
AABBCCDDeeFFGGHh,351123115966963493036012047346048666087456768.00000000
AABBCCDDeeFFGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDeeFFGgHH,351123115966963493036012047346048666087456768.00000000
AABBCCDDeeFFGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDeeFFGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDeeFFggHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDDeeFFggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDeeFFgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDeeFfGGHH,351123115966963493036012047346048666087456768.00000000
